('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         398126 function calls (394604 primitive calls) in 1.344 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.796    0.796 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpcore/_sync/http11.py:65(handle_request)
      515    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:1543(get)
      432    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      410    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
    89/33    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:178(getwidth)
    36/15    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
    50/21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/zipfile/__init__.py:1(<module>)
       25    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_receivebuffer.py:87(maybe_extract_next_line)
      357    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1246(<genexpr>)
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.068    0.068 /usr/lib/python3.12/ssl.py:956(_create)
      282    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       18    0.000    0.000    0.002    0.000 /usr/lib/python3.12/dataclasses.py:568(_init_fn)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      603    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1252(__eq__)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      109    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1178(__getattr__)
    220/8    0.000    0.000    0.041    0.005 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.131    0.131 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpcore/_sync/connection.py:105(_connect)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:919(_convert_)
